objectid,topoid,poigroup,poitype,poiname,poilabel,urbanity,lon,lat,sa2_code,sa2_name
2296,500267049,3,Park,MARKS PARK,MARKS PARK,S,151.2751497989923,-33.89849878686277,118011339,Bondi - Tamarama - Bronte
2297,500267060,1,Cemetery,WAVERLEY CEMETERY,WAVERLEY CEMETERY,U,151.26691247511062,-33.90887602789484,118011339,Bondi - Tamarama - Bronte
2302,500267204,3,Park,HOGAN RESERVE,HOGAN RESERVE,U,151.26314284414116,-33.889040882839566,118011340,Bondi Beach - North Bondi
2310,500267504,1,Place Of Worship,THE CENTRAL SYNAGOGUE,THE CENTRAL SYNAGOGUE,U,151.25674450729176,-33.89036896822749,118011341,Bondi Junction - Waverly
2319,500267926,1,Post Office,BONDI BEACH POST OFFICE,BONDI BEACH POST OFFICE,U,151.2727491106843,-33.890777169953466,118011340,Bondi Beach - North Bondi
2320,500268048,1,Community Facility,CLOVELLY SENIOR CITIZENS CENTRE,CLOVELLY SENIOR CITIZENS CENTRE,U,151.25896997650867,-33.909288828186334,118021651,Coogee - Clovelly
27164,504395148,1,Place Of Worship,ST STEPHEN'S CHURCH,ST STEPHEN'S CHURCH,U,151.25885801677987,-33.888059569496754,118011649,Bellevue Hill
27165,504395149,1,Place Of Worship,BET YOSEF (THE CARO SYNAGOGUE),BET YOSEF (THE CARO SYNAGOGUE),U,151.26158844518764,-33.88844205366172,118011339,Bondi - Tamarama - Bronte
27166,504395152,1,Local Government Chambers,WAVERLEY COUNCIL,WAVERLEY COUNCIL,U,151.2565713228848,-33.893279240964354,118011341,Bondi Junction - Waverly
27167,504395153,3,Sports Court,,NETBALL COURT,U,151.25662292930127,-33.89562938987781,118011341,Bondi Junction - Waverly
27172,504395162,3,Park,MARLBOROUGH RESERVE,MARLBOROUGH RESERVE,U,151.25943408660868,-33.8995917741492,118011339,Bondi - Tamarama - Bronte
27173,504395166,1,Place Of Worship,BONDI PRESBYTERIAN CHURCH,BONDI PRESBYTERIAN CHURCH,U,151.2674287467859,-33.893457686675625,118011339,Bondi - Tamarama - Bronte
27174,504395167,3,Historic Site,BRONTE HOUSE,BRONTE HOUSE,U,151.2643160942079,-33.90231467290214,118011339,Bondi - Tamarama - Bronte
27175,504395171,3,Club,BRONTE RSL CLUB,BRONTE RSL CLUB,U,151.26258892317406,-33.90624027753861,118011339,Bondi - Tamarama - Bronte
27247,504395293,1,Place Of Worship,NEFESH SHUL SYNAGOGUE,NEFESH SHUL SYNAGOGUE,U,151.27185191470102,-33.88825161381057,118011340,Bondi Beach - North Bondi
27252,504395316,3,Club,BONDI ICEBERGS CLUB,BONDI ICEBERGS CLUB,S,151.27438126331722,-33.89522145744081,118011340,Bondi Beach - North Bondi
27253,504395320,3,Park,,Park,U,151.2701428869409,-33.89351672358032,118011340,Bondi Beach - North Bondi
27254,504395322,3,Park,BOONDI RESERVE,BOONDI RESERVE,U,151.27239836797315,-33.89535048465325,118011340,Bondi Beach - North Bondi
27255,504395323,3,Park,HUNTER PARK,HUNTER PARK,U,151.27353680203444,-33.895675079626876,118011340,Bondi Beach - North Bondi
27256,504395325,1,Community Facility,TAMARAMA SLSC,TAMARAMA SLSC,U,151.27130038774413,-33.900023497564426,118011339,Bondi - Tamarama - Bronte
27257,504395327,3,Park,TAMARAMA PARK,TAMARAMA PARK,U,151.26842391842393,-33.898497872725464,118011339,Bondi - Tamarama - Bronte
27258,504395330,1,Community Facility,BRONTE SLSC,BRONTE SLSC,U,151.26766005309014,-33.90332913490697,118011339,Bondi - Tamarama - Bronte
27260,504395332,3,Park,BRONTE PARK,BRONTE PARK,U,151.26575146009813,-33.902535177865055,118011339,Bondi - Tamarama - Bronte
27261,504395337,3,Park,CALGA RESERVE,CALGA RESERVE,U,151.2693273172743,-33.907313409289095,118011339,Bondi - Tamarama - Bronte
